station_id,timestamp,temperature_c,relative_humidity_pct,pressure_hpa
AWS_AP01,2025-01-14 13:30:00,27.847,61.11,1006.692
AWS_AP01,2025-01-14 13:45:00,27.779,58.637,1007.032
AWS_AP01,2025-01-15 02:30:00,20.646,78.308,1006.898
AWS_AP01,2025-01-15 02:45:00,20.665,82.397,1006.977
AWS_AP01,2025-01-17 15:45:00,28.407,58.191,1006.802
AWS_AP01,2025-01-17 16:00:00,28.008,62.478,1006.594
AWS_AP01,2025-01-20 05:00:00,20.543,81.223,1005.704
AWS_AP01,2025-01-20 05:15:00,20.741,77.794,1005.098
AWS_AP01,2025-01-23 02:45:00,20.69,81.003,1007.643
AWS_AP01,2025-01-23 03:00:00,20.069,78.45,1006.845
AWS_AP01,2025-01-23 03:15:00,19.763,84.192,1006.9
AWS_AP01,2025-01-23 03:30:00,20.162,81.013,1006.206
AWS_AP01,2025-01-23 03:45:00,19.817,81.042,1006.242
AWS_AP01,2025-01-23 04:00:00,20.109,79.442,1006.831
AWS_AP01,2025-01-23 04:15:00,19.837,84.264,1006.734
AWS_AP01,2025-01-23 04:30:00,20.131,81.785,1007.09
AWS_AP01,2025-01-23 04:45:00,20.354,78.88,1007.623
AWS_AP01,2025-01-23 05:00:00,20.942,80.979,1007.061
AWS_AP01,2025-01-23 05:15:00,20.887,78.031,1007.326
AWS_AP01,2025-01-23 05:30:00,21.097,82.724,1007.468
AWS_AP01,2025-01-23 05:45:00,21.069,78.248,1006.906
AWS_AP01,2025-01-23 06:00:00,21.508,80.048,1006.732
AWS_AP01,2025-01-23 06:15:00,21.195,77.251,1007.658
AWS_AP01,2025-01-23 06:30:00,21.446,77.262,1007.905
AWS_AP01,2025-01-23 06:45:00,22.007,78.389,1007.818
AWS_AP01,2025-01-23 07:00:00,22.03,76.622,1007.891
AWS_AP01,2025-01-23 07:15:00,22.348,72.271,1007.878
AWS_AP01,2025-01-23 07:30:00,22.548,72.445,1008.692
AWS_AP01,2025-01-23 07:45:00,23.226,78.722,1008.412
AWS_AP01,2025-01-23 08:00:00,23.5,71.451,1009.188
AWS_AP01,2025-01-23 08:15:00,23.183,71.663,1008.888
AWS_AP01,2025-01-23 08:30:00,23.109,71.274,1009.22
AWS_AP01,2025-01-23 08:45:00,23.692,69.145,1009.304
AWS_AP01,2025-01-23 09:00:00,23.905,70.743,1009.471
AWS_AP01,2025-01-23 09:15:00,24.693,68.874,1009.375
